Unnamed: 0,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history,Battery capacity1
1138,kia sportage,61023373,Kia,Sportage,Orange,,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,,0 g/km,Euro 6,,,,,,5 km,9/2023,New,,31549,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel,1 598 ccm,,,,,,,,,,,,,
1139,renault kangoo,61023369,Renault,Kangoo,,,Other interior color,Other interior material,Cargo VAN,4/5 doors,,not published by the seller,Petrol,Manual,4x2,75 kW,,154 g/km,No emission class,,,,,,1 km,9/2023,New,6.8 l/100km (combined); 6.8 l/100km (city); 6.8 l/100km ,23499,EUR,LED headlights; Navigation system; Traffic sign recognition; Bluetooth; High beam assist; Rain sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Fatigue warning system,1 333 ccm,,,,,,,,1494.0,,,,,
1140,kia sportage,61023375,Kia,Sportage,,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Hybrid,Automatic,4x2,195 kW,,26 g/km,No emission class,,,,,,1 km,9/2023,New,1.1 l/100km (combined); 1.1 l/100km (city); 1.1 l/100km ,46449,EUR,Heated rear seats; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Navigation system; Paddle shifters; Bluetooth; Automatic A/C; Rain sensor,1 598 ccm,,,,,,,,1997.0,,,,,
1141,mini cooper,61023356,MINI,Cooper,Blue,,Other interior color,Other interior material,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,100 kW,,105 g/km,Euro 6,,,,,,103 000 km,10/2014,Used,4.5 l/100km (combined); 4.5 l/100km (city); 4.5 l/100km ,13399,EUR,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Keyless ignition; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor,1 499 ccm,,,,,,,,1060.0,,,,,
1142,mercedes-benz c-220,61023366,Mercedes-Benz,C 220,Black,,,Part leather interior,Station Wagon,4/5 doors,5,W1KAH1EB6RF145685,Diesel,Automatic,4x4,147 kW,,0 g/km,,,,,,,4 km,1/2023,New,,73199,EUR,Parking assist system self-steering; LED headlights; Electric adjustable front seats; Burmester audio; Heated front seats; Android auto; Keyless ignition; Panoramic roof; Navigation system; Traffic sign recognition,1 993 ccm,,,,,,,,,,,,,
1143,peugeot 308,61023371,Peugeot,308,,,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,97 kW,,92 g/km,No emission class,,,,,,99 726 km,9/2019,Used,3.5 l/100km (combined),17949,EUR,LED headlights; Keyless entry; Smartphone mirroring; Keyless ignition; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Daytime running lights,1 499 ccm,,,,,,,,,,,,,
1144,opel grandland,61023355,Opel,Grandland,Grey,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,114 g/km,Euro 6d-TEMP,,,,,,80 000 km,11/2019,Used,5.1 l/100km (combined); 5.1 l/100km (city); 5.1 l/100km ,17449,EUR,Apple CarPlay; Android auto; Voice control; Navigation system; Bluetooth; Lane assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1 199 ccm,,,,,,,,1350.0,,,,,
1145,seat leon,61023368,Seat,Leon,Grey,,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,115 g/km,No emission class,,,,,,52 856 km,11/2020,Used,4.8 l/100km (combined); 4.8 l/100km (city); 4.8 l/100km ,23149,EUR,Bluetooth; Automatic A/C; High beam assist; Multifunctional steering wheel; Alloy wheels,1 498 ccm,,,,,,,,1361.0,Spain,,,,
1146,volkswagen taigo,61023360,Volkswagen,Taigo,,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,81 kW,,111 g/km,No emission class,,,,,,1 km,9/2023,New,4.9 l/100km (combined); 5.9 l/100km (city); 5.9 l/100km ,23499,EUR,LED headlights; Digital cockpit; Smartphone mirroring; Apple CarPlay; Android auto; Bluetooth; Lane assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment,999 ccm,,,,,,,,1185.0,,,,,
1147,bmw ix3,61023363,BMW,iX3,Black,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,WBY41DU040SC28072,Electric,Automatic,4x2,210 kW,,0 g/km,,,,,,,5 km,1/2023,New,0 kWh/100km (combined),65799,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Navigation system; Sport front seats; Adaptive lighting; Induction charging for smartphones; Leather; Automatic A/C,,,,,,,,,,,,,,
1148,audi q3,61023359,Audi,Q3,,Metallic,Black interior,,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Automatic,4x4,169 kW,,168 g/km,,,,,,,46 100 km,1/2020,Used,7.4 l/100km (combined),47099,EUR,Heated front seats; Sport front seats; Bluetooth; Rear parking camera; Sport-suspension system; Automatic lights; Hill-start assist; Autom. dimming side mirros,1 984 ccm,,,,,,,12/2024,,,,,,
1149,volkswagen t-cross,61023372,Volkswagen,T-Cross,Grey,,,Cloth interior,SUV / offroad,4/5 doors,5,WVGZZZC1ZLY045642,Petrol,Manual,4x2,81 kW,,114 g/km,,,,,,,24 624 km,1/2019,Used,5.1 l/100km (combined),19899,EUR,LED headlights; Smartphone mirroring; Apple CarPlay; Bluetooth; Automatic A/C; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Alloy wheels,999 ccm,,,,,,,,,,,,,
1150,renault austral,61023364,Renault,Austral,Blue,Metallic,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,118 kW,,0 g/km,Euro 6d-TEMP,,,,,No,20 km,8/2023,Used,,40949,EUR,Driver's seat with massage function; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control,1 332 ccm,,,,,Mild hybrid,,,1546.0,Germany,,,,
1151,renault clio,61023367,Renault,Clio,White,,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,,112 g/km,Euro 6,,,,,,39 672 km,8/2021,Used,5.2 l/100km (combined); 5.6 l/100km (city); 3.7 l/100km ,16849,EUR,Keyless ignition; Navigation system; Glare-free high beam headlights; Traffic sign recognition; Automatic A/C; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment,999 ccm,,1.0,,,,,06/2024,,,,,,
1152,tesla model-3,61023357,Tesla,Model 3,Black,Metallic,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,350 kW,,0 g/km,No emission class,Lithium-ion (Li-ion),,,160000 km,No,101 000 km,4/2020,Used,,36949,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof; Voice control,,,,,,,,,,Austria,,,,
1153,skoda fabia,61023370,Skoda,Fabia,,,Other interior color,Other interior material,Hatchback,4/5 doors,,not published by the seller,Petrol,Manual,4x2,70 kW,,0 g/km,Euro 6,,,,,,1 km,9/2023,New,,22699,EUR,Keyless ignition; Rain sensor; Front collision warning system; Fatigue warning system; USB,999 ccm,,,,,,,,1109.0,,,,,
1154,citroen c4-spacetourer,61023358,Citroen,C4 SpaceTourer,Grey,,,,MPV,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,110 g/km,Euro 6,,,,,,64 950 km,10/2019,Used,4.6 l/100km (combined),19549,EUR,Adaptive cruise control; Automatic multi-zone A/C; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Blind spot assist; Hill-start assist,1 199 ccm,,1.0,,,,,12/2024,,,,,,
1155,citroen c4-spacetourer,61023358,Citroen,C4 SpaceTourer,Grey,,,,MPV,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,110 g/km,Euro 6,,,,,,64 950 km,10/2019,Used,4.6 l/100km (combined),19549,EUR,Adaptive cruise control; Automatic multi-zone A/C; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Blind spot assist; Hill-start assist,1 199 ccm,,1.0,,,,,12/2024,,,,,,
1156,volkswagen caddy,61023362,Volkswagen,Caddy,,,Other interior color,Cloth interior,Cargo VAN,4/5 doors,7,not published by the seller,Petrol,Automatic,4x2,84 kW,,134 g/km,Euro 6d,,,,,,1 km,9/2023,New,5.8 l/100km (combined),35149,EUR,LED headlights; Digital cockpit; Keyless entry; Keyless ignition; Third row seats; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor,1 498 ccm,,,,,,,,,,,,,
1157,mercedes-benz glb-200,61023365,Mercedes-Benz,GLB 200,White,,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,0 g/km,,,,,,,1 km,1/2023,New,,60449,EUR,Heated front seats; Android auto; Panoramic roof; Automatic A/C; Electrically foldable side mirrors; Alarm; Ambient lighting,1 950 ccm,,,,,,,,,,,,,
1158,mercedes-benz eqe,61023351,Mercedes-Benz,EQE,Silver,Metallic,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,180 kW,,0 g/km,No emission class,,,,,,21 866 km,3/2023,Used,0 kWh/100km (combined),65749,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Panoramic roof; Navigation system; Induction charging for smartphones,,,,,,,,,2285.0,,,,,
1159,mazda 3,61023350,Mazda,3,,,Other interior color,Other interior material,Sedans / saloons,4/5 doors,,not published by the seller,Petrol,Manual,4x2,110 kW,,114 g/km,No emission class,,,,,,1 km,8/2023,New,5.5 l/100km (combined); 5.6 l/100km (city); 5.6 l/100km ,27999,EUR,LED headlights; Keyless entry; Smart key; Heated front seats; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C,1 998 ccm,,,,,,,,1311.0,,,,,
1160,volkswagen passat,61023340,Volkswagen,Passat,Grey,Metallic,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,160 kW,,120 g/km,Euro 6d,Lithium-ion (Li-ion),,,,No,115 739 km,7/2020,,5.3 l/100km (combined),29349,EUR,Driver's seat with massage function; LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Navigation system,1 395 ccm,,1.0,160 kW,13 kWh,Plug-in hybrid,,,,,,,,
1161,abarth 695c,61023338,Abarth,695C,White,,Black interior,Cloth interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,132 kW,,0 g/km,Euro 6d-TEMP,,,,,,5 km,9/2023,New,,35449,EUR,Digital cockpit; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Sport front seats; Bi-xenon headlights; Bluetooth; Sport-suspension system,1 368 ccm,,,,,,,,1090.0,Germany,,,,
1162,dacia spring,61023346,Dacia,Spring,Green,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,4,not published by the seller,Electric,Automatic,4x2,33 kW,33 kW,0 g/km,Euro 6,Lithium-ion (Li-ion),8 h,,120000 km,No,10 km,12/2023,,13.9 kWh/100km (combined),23099,EUR,Bluetooth; Light sensor; Hill-start assist; Daytime running lights; On-board computer; USB; Front electric windows,,,1.0,,27 kWh,,,,,,,,,
1163,audi a1,61023341,Audi,A1,Blue,Metallic,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,70 kW,,106 g/km,Euro 6d,,,,,,76 475 km,1/2021,Used,4.5 l/100km (combined); 4.5 l/100km (city); 4.5 l/100km ,19849,EUR,Parking assist system self-steering; Digital cockpit; Keyless entry; Adaptive cruise control; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Voice control,999 ccm,,,,,,,,1200.0,,,,,
1164,volkswagen id.5,61023349,Volkswagen,ID.5,Black,,,,SUV / offroad,4/5 doors,,not published by the seller,Electric,Automatic,4x4,221 kW,,0 g/km,,,,,,,56 000 km,6/2022,,,50149,EUR,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Rear parking camera,,,,,,,,,,,,,,
1165,cupra born,61023345,Cupra,Born,Grey,,,Alcantara interior,Hatchback,4/5 doors,5,VSSZZZK18PP029060,Electric,Automatic,4x2,150 kW,,0 g/km,,,,,,,10 km,1/2023,New,,39699,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Android auto; Keyless ignition; Navigation system,,,,,,,,,,,,,,
1166,seat leon,61023344,Seat,Leon,Grey,,Other interior color,Cloth interior,Station Wagon,,5,not published by the seller,Petrol,Manual,4x2,85 kW,,102 g/km,Euro 6,,,,,,84 008 km,6/2017,Used,4.4 l/100km (combined); 4.4 l/100km (city); 4.4 l/100km ,14749,EUR,,999 ccm,,,,,,,,1103.0,,,,,
1167,audi q3,61023352,Audi,Q3,White,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,134 g/km,Euro 6d-TEMP,,,,,,49 131 km,4/2020,Used,6.1 l/100km (combined); 6.1 l/100km (city); 6.1 l/100km ,38049,EUR,LED headlights; Adaptive cruise control; Navigation system; Traffic sign recognition; Bluetooth; Leather; Rain sensor; Light sensor; Lane assist; Side mirrors with electic adjustment,1 498 ccm,,,,,,,,1605.0,,,,,
1168,kia niro,61023348,Kia,Niro,White,,,Cloth interior,SUV / offroad,4/5 doors,,not published by the seller,Hybrid,Automatic,4x2,104 kW,,86 g/km,Euro 6,Lithium polymer (Li-pol),2 h,,150000 km,No,61 270 km,7/2019,,3.7 l/100km (combined),21949,EUR,Heated rear seats; Adaptive cruise control; Heated front seats; Navigation system; Heated steering wheel; Bluetooth; Rear parking camera; Automatic 2-zones air conditioning; Induction charging for smartphones; Rain sensor,1 580 ccm,,,,,,,,,,,,,
1169,fiat 500x,61023335,Fiat,500X,Blue,Metallic,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,0 g/km,Euro 6d-TEMP,,,,,,5 km,9/2023,New,,35099,EUR,LED headlights; Keyless entry; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Bluetooth; Leather; Automatic A/C,1 469 ccm,,,,,,,,1480.0,Germany,,,,
1170,peugeot 2008,61023330,Peugeot,2008,Blue,Metallic,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,,105 g/km,Euro 6,,,,,,5 000 km,1/2023,Used,5.5 l/100km (combined),24999,EUR,LED headlights; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist,1 199 ccm,,,,,,,,1263.0,,,,,
1171,volkswagen id.4,61023334,Volkswagen,ID.4,White,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,195 kW,150 kW,0 g/km,No emission class,Lithium-ion (Li-ion),8 h,28 min,160000 km,No,19 000 km,2/2022,Used,,56449,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Head-up display; Apple CarPlay; Android auto; Night vision assist; Navigation system,,,,,82 kWh,,,,2224.0,,,,,
1172,bmw 320,61023320,BMW,320,Black,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,,0 g/km,Euro 6,,,,,,101 600 km,3/2020,,5.1 l/100km (city); 4.1 l/100km ,28299,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control,1 995 ccm,,1.0,,,,,,,,,,,
1173,skoda kamiq,61023318,Skoda,Kamiq,Black,Metallic,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,113 g/km,No emission class,,,,,,49 785 km,1/2021,,4.9 l/100km (combined),24799,EUR,Electric adjustable front seats; Automatic A/C; Side mirrors with electic adjustment; Start-stop system,1 498 ccm,,,,,,,,,,,,,
1174,land-rover range-rover-evoque,61023321,Land Rover,Range Rover Evoque,Grey,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,227 kW,,154 g/km,Euro 6d,,,,,,40 500 km,12/2020,,2 l/100km (combined),52099,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Meridian audio; Heated front seats; Apple CarPlay; Android auto; Keyless ignition,1 498 ccm,,1.0,,,,,,,,,,,
1175,ds-automobiles 7-crossback,61023316,DS Automobiles,7 Crossback,Grey,,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,132 kW,81 kW,120 g/km,,Lithium-ion (Li-ion),2 h,,160000 km,No,37 253 km,6/2021,Used,5.3 l/100km (combined),37499,EUR,Electric adjustable front seats; Keyless ignition; Automatic multi-zone A/C; Voice control; Paddle shifters; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist,1 598 ccm,,,133 kW,14 kWh,Full hybrid,,12/2024,,,,,,
1176,kia ceed,61023324,Kia,Ceed,,,Other interior color,Other interior material,Sedans / saloons,4/5 doors,,not published by the seller,Petrol,Manual,4x2,88 kW,,134 g/km,No emission class,,,,,,1 km,9/2023,New,5.9 l/100km (combined); 5.9 l/100km (city); 5.9 l/100km ,24599,EUR,LED headlights; Apple CarPlay; Android auto; Navigation system; Bluetooth; Automatic A/C; High beam assist; Rain sensor; Lane assist; Hill-start assist,998 ccm,,,,,,,,1468.0,,,,,
1177,renault twingo,61023331,Renault,Twingo,Grey,,,,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,66 kW,,111 g/km,Euro 6,,,,,,26 973 km,12/2018,Used,4.9 l/100km (combined),10849,EUR,Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; On-board computer; Start-stop system; USB; AUX,898 ccm,,,,,,,12/2024,,,,,,
1178,skoda kamiq,61023329,Skoda,Kamiq,,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,110 kW,,116 g/km,Euro 6,,,,,,1 km,9/2023,New,5.1 l/100km (combined),32799,EUR,LED headlights; Heated front seats; Panoramic roof; Paddle shifters; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor; Lane assist; Hill-start assist,1 498 ccm,,,,,,,,,,,,,
1179,toyota proace-verso,61023312,Toyota,Proace Verso,White,Metallic,Black interior,Part leather interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,90 kW,,139 g/km,Euro 6,,,,,,109 600 km,11/2017,,5.3 l/100km (combined); 5.6 l/100km (city); 5 l/100km ,17749,EUR,Bluetooth; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; CD player; USB; AUX,1 997 ccm,,2.0,,,,,,,,,,,
1180,hyundai i30,61023315,Hyundai,i30,White,Metallic,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,206 kW,,176 g/km,Euro 6d,,,,,,15 km,8/2023,,7.7 l/100km (combined),42549,EUR,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Navigation system; Heated steering wheel; Paddle shifters,1 998 ccm,,1.0,,,,,,,,,,,
1181,audi q5,61023304,Audi,Q5,White,,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,,144 g/km,Euro 6d-TEMP,,,,,No,80 629 km,9/2020,,5.7 l/100km (combined),40549,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,1 968 ccm,,1.0,,,Mild hybrid,,,,,,,,
1182,audi a6,61023306,Audi,A6,Black,Metallic,Grey interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,173 kW,,129 g/km,Euro 6,,,,,,10 km,6/2023,,4.9 l/100km (combined); 4.9 l/100km (city); 4.9 l/100km ,64399,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Keyless ignition; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth,1 968 ccm,,,,,,,,,,,,,
1183,seat leon,61023300,Seat,Leon,Grey,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,85 kW,,109 g/km,Euro 6d,,,,,,84 042 km,3/2019,Used,4.8 l/100km (combined),16849,EUR,LED headlights; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Bluetooth; Automatic 2-zones air conditioning; High beam assist; Rain sensor,999 ccm,,,,,,,,1242.0,Belgium,,,,
1184,citroen c3-aircross,61023308,Citroen,C3 Aircross,White,,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,115 g/km,Euro 6,,,,,,18 000 km,7/2020,Used,6 l/100km (combined),15399,EUR,Android auto; Automatic multi-zone A/C; Navigation system; Bluetooth; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Parking sensors,1 199 ccm,,,,,,,03/2024,,,,,,
1185,hyundai santa-fe,61023311,Hyundai,Santa Fe,White,Metallic,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,169 kW,,132 g/km,Euro 6d,,,,,No,42 728 km,7/2021,,5.8 l/100km (combined),54299,EUR,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1 598 ccm,,,,,Plug-in hybrid,,,,,,,,
1186,volkswagen t-roc,61023299,Volkswagen,T-Roc,Grey,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,118 g/km,Euro 6d,,,,,,72 400 km,9/2020,,4.5 l/100km (combined); 5.2 l/100km (city); 4.1 l/100km ,23499,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system,1 968 ccm,,1.0,,,,,,,,,,,
1187,toyota yaris,61023294,Toyota,Yaris,Blue,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,55 kW,,75 g/km,Euro 6,,,,,,41 000 km,5/2017,,3.3 l/100km (combined); 3.3 l/100km (city); 3.1 l/100km ,15899,EUR,Bluetooth; Automatic 2-zones air conditioning; High beam assist; Rain sensor; Light sensor; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1 497 ccm,,1.0,,,,,,,,,,,
1188,fiat 500,61023305,Fiat,500,White,Metallic,Grey interior,Cloth interior,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,70 kW,70 kW,0 g/km,No emission class,Lithium-ion (Li-ion),3 h,30 min,160000 km,No,9 998 km,7/2022,Used,,19949,EUR,Digital cockpit; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist,,,,,24 kWh,,,,1365.0,,,,,
1189,renault scenic,61023297,Renault,Scenic,Grey,,Black interior,,MPV,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,,132 g/km,Euro 6,,,,,,44 214 km,12/2018,Used,5.8 l/100km (combined); 6.9 l/100km (city); 5.1 l/100km ,20049,EUR,,1 332 ccm,,,,,,,12/2024,,,,,,
1190,peugeot 3008,61023301,Peugeot,3008,Black,Pearl,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,96 kW,,104 g/km,Euro 6,,,,,,4 604 km,5/2023,Used,5.5 l/100km (combined),31399,EUR,Keyless ignition; Automatic multi-zone A/C; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Autom. dimming side mirros,1 499 ccm,,1.0,,,,,12/2024,,,,,,
1191,peugeot 2008,61023296,Peugeot,2008,Black,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,,105 g/km,Euro 6,,,,,,42 000 km,11/2020,Used,4.6 l/100km (combined); 4.6 l/100km (city); 4.6 l/100km ,17899,EUR,LED headlights; Keyless entry; Keyless ignition; Traffic sign recognition; Automatic A/C; Rain sensor; Light sensor; Lane assist; Multifunctional steering wheel; Side mirrors with electic adjustment,1 199 ccm,,,,,,,,1192.0,,,,,
1192,cupra born,61023314,Cupra,Born,White,Metallic,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,No emission class,,,,,,8 000 km,3/2023,Used,16.1 kWh/100km (combined),50499,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition,,,,,,,,,1806.0,,,,,
1193,seat ibiza,61023310,Seat,Ibiza,Silver,Metallic,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,59 kW,,112 g/km,Euro 6d-TEMP,,,,,,49 600 km,1/2019,,5 l/100km (combined),13249,EUR,Heated front seats; Integrated music streaming; Voice control; Navigation system; Bluetooth; Light sensor; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment,999 ccm,03/2025,,,,,,,,,,,,
0,opel adam,61023275,Opel,Adam,Grey,Metallic,Other interior color,Part leather interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,110 kW,,139 g/km,Euro 6,,,,,,51 000 km,4/2017,Used,5.9 l/100km (combined); 5.9 l/100km (city); 5.9 l/100km ,13899,EUR,Parking assist system self-steering; Digital cockpit; Apple CarPlay; Android auto; Voice control; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Blind spot assist,1 364 ccm,,,,,,,,1178.0,,,,,
