CARNAME,ID,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Previous owners,Engine capacity(ccm),Tags
toyota rav-4,61188306,Toyota,RAV 4,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,225,26,Euro 6d,61029,01/12/2021,Used,1.2,41599,1,2487,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto
audi q5,61188310,Audi,Q5,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,195,169,Euro 6d,5367,01/01/2023,Used,7.4,53199,1,1984,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; El. tailgate; Paddle shifters
bmw 430-gran-coup%C3%A9,61188282,BMW,430 Gran Coupé,Brown,Other interior color,Full leather interior,Coupe,4/5 doors,5,Diesel,Automatic,4x4,190,0,Euro 6,76000,01/01/2020,Used,4.8,38399,2,2993,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay
kia soul,61188247,Kia,Soul,Grey,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Electric,Automatic,4x2,100,0,No emission class,19833,01/08/2021,Used,5.534431978,25799,1,1499,LED headlights; Digital cockpit; Keyless entry; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Traffic sign recognition; Bluetooth
volkswagen t6-california,61188225,Volkswagen,T6 California,White,Black interior,Velour interior,Cargo VAN,4/5 doors,5,Diesel,Automatic,4x2,110,179,Euro 6d,1250,01/12/2023,Used,6.9,75399,1,1968,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control
volkswagen caddy,61188220,Volkswagen,Caddy,White,Other interior color,Other interior material,Cargo VAN,4/5 doors,2,Diesel,Manual,4x2,55,158,Euro 5,119000,01/01/2014,Used,6,10749,1,1598,Central locking with remote
volkswagen polo,61188222,Volkswagen,Polo,Orange,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,70,105,Euro 6,89573,01/12/2020,Used,4.6,15249,1,999,Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Bluetooth; Light sensor; Hill-start assist; Front collision warning system; Multifunctional steering wheel
fiat 500c,61188191,Fiat,500C,Blue,Black interior,Cloth interior,Cabriolet,2/3 doors,4,Petrol,Automatic,4x2,63,90,Euro 6,45000,01/06/2018,Used,3.8,14699,2,875,Bluetooth; Automatic A/C; Rain sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; Start-stop system
bmw x5,61188210,BMW,X5,Black,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,210,163,Euro 6,26100,01/02/2023,Used,6.2,63449,1,2993,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Active steering; Head-up display
seat leon,61188205,Seat,Leon,Grey,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,107,Euro 6d,10,01/11/2023,New,4.1,34099,0,1968,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system
skoda superb,61188178,Skoda,Superb,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,102,Euro 6d,82498,01/05/2020,Used,3.9,24649,1,1968,LED headlights; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning
skoda karoq,61188183,Skoda,Karoq,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,126,Euro 6,31228,01/11/2020,Used,5.6,28799,1,1498,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto
skoda citigo,61188188,Skoda,Citigo,Black,Black interior,Cloth interior,Hatchback,4/5 doors,4,Petrol,Manual,4x2,44,101,Euro 6,101000,01/12/2017,Used,4.4,9849,2,999,Heated front seats; Integrated music streaming; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel
citroen c3,61188169,Citroen,C3,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,81,120,No emission class,2,01/05/2023,New,5.9,21449,2,1199,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system; Traffic sign recognition
peugeot 208,61188166,Peugeot,208,White,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,97,Euro 6d,6500,01/02/2022,Used,5.3,20399,1,1199,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system
volkswagen polo,61188163,Volkswagen,Polo,Black,Black interior,Other interior material,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,70,106,Euro 6d-TEMP,15000,01/05/2023,Used,4.6,21499,1,999,LED headlights; Digital cockpit; Apple CarPlay; Android auto; Integrated music streaming; Bluetooth; Rain sensor; Light sensor; Lane assist; Hill-start assist
mazda cx-5,61188129,Mazda,CX-5,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,129,144,Euro 6,117320,01/11/2016,Used,5.5,18949,0,2191,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Keyless ignition; Voice control; Navigation system; Sport front seats
volkswagen t-cross,61188119,Volkswagen,T-Cross,Black,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,118,Euro 6d,15700,01/05/2023,Used,6,28799,1,1498,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system
jaguar xj,61188054,Jaguar,XJ,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,202,159,Euro 5,160000,01/05/2014,Used,6.1,23149,2,2993,Heated rear seats; Keyless entry; Electric adjustable front seats; Meridian audio; Heated front seats; Keyless ignition; Soft close doors; Panoramic roof; Navigation system; El. tailgate
bmw 520,61188060,BMW,520,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140,0,No emission class,5640,01/07/2022,Used,4.8,46899,1,1995,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay
toyota c-hr,61188000,Toyota,C-HR,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,135,92,Euro 6d,26139,01/09/2021,Used,4,24649,1,1987,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Heated steering wheel
audi s4,61187983,Audi,S4,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,255,162,Euro 6d-TEMP,57500,01/10/2020,Used,6.2,45099,1,2967,LED headlights; Digital cockpit; Electric adjustable front seats; Integrated music streaming; Voice control; Paddle shifters; Sport front seats; Bluetooth; Sport-suspension system; Alcantara interior
skoda kodiaq,61187980,Skoda,Kodiaq,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,140,150,Euro 6,120000,01/06/2017,Used,5.8,26299,2,1968,Ventilated front seats; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof
mercedes-benz e-400,61187960,Mercedes-Benz,E 400,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,245,173,Euro 6,105000,01/05/2017,Used,7.6,30449,2,3498,Parking assist system self-steering; LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Voice control
audi a3,61187961,Audi,A3,Black,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,110,102,Euro 6d,5,01/09/2023,New,4.6,44549,0,1968,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Navigation system; Glare-free high beam headlights; Sport front seats; Bluetooth
citroen c1,61187964,Citroen,C1,White,Black interior,Other interior material,Hatchback,2/3 doors,4,Petrol,Manual,4x2,53,85,Euro 6d-TEMP,27458,01/12/2019,Used,3.7,12549,2,998,Heated front seats; Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel
mercedes-benz gla-200,61187971,Mercedes-Benz,GLA 200,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,120,130,Euro 6d,4610,01/10/2021,Used,5.7,44749,1,1332,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Panoramic roof
suzuki swift,61187949,Suzuki,Swift,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x4,61,95,No emission class,10,01/09/2023,New,5.4,20799,0,1197,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Traffic sign recognition; Bluetooth; High beam assist; Light sensor
kia sportage,61187921,Kia,Sportage,Green,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110,144,Euro 6d,20100,01/02/2023,Used,6.3,26299,1,1598,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Traffic sign recognition; Automatic 2-zones air conditioning; Rain sensor; Light sensor
peugeot partner,61187924,Peugeot,Partner,White,Other interior color,Other interior material,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,73,111,Euro 6,44000,01/06/2018,Used,4.3,18349,1,1560,Heated front seats; Navigation system; Bluetooth; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Cornering lights; On-board computer; Start-stop system
morgan roadster,61187912,Morgan,Roadster,Grey,Brown interior,Full leather interior,Cabriolet,2/3 doors,2,Petrol,Manual,4x2,170,0,Euro 5,37428,01/08/2010,Used,5.5,70999,5,3000,Leather; On-board computer; Heated windshield; CD player
bmw 630-gran-turismo,61187914,BMW,630 Gran Turismo,White,Brown interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,195,143,Euro 6d-TEMP,73000,01/04/2019,Used,5.5,40549,1,2993,Ventilated front seats; Air suspension; Parking assist system self-steering; LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Panoramic roof
mercedes-benz eqs,61187909,Mercedes-Benz,EQS,Grey,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x4,484,0,No emission class,5050,01/02/2023,Demonstration car,5.534431978,126749,1,1499,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Head-up display
volkswagen touran,61187886,Volkswagen,Touran,Grey,Black interior,Cloth interior,MPV,4/5 doors,5,Petrol,Manual,4x2,110,130,Euro 6,96700,01/05/2016,Used,5.7,20949,1,1395,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Integrated music streaming; Navigation system; Bluetooth; High beam assist; Rain sensor; Light sensor
skoda rapid,61187875,Skoda,Rapid,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,70,103,No emission class,119458,01/05/2018,Used,4.5,10899,0,999,Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Bi-xenon headlights; Bluetooth; Adaptive lighting; Automatic A/C; Rain sensor
bmw 750,61187864,BMW,750,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,330,192,Euro 6,145000,01/05/2016,Used,8.3,39799,2,4395,Laser headlights; Driver's seat with massage function; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Adaptive cruise control
seat ibiza,61187857,Seat,Ibiza,White,Black interior,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,59,112,Euro 6,103000,01/11/2019,Used,5,10749,1,999,Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Glare-free high beam headlights; Sport front seats; Traffic sign recognition; Bluetooth; Light sensor
volkswagen t6-multivan,61187832,Volkswagen,T6 Multivan,White,Black interior,Alcantara interior,MPV/VAN,4/5 doors,7,Diesel,Automatic,4x4,150,178,Euro 6,79600,01/08/2018,Used,6.8,50099,3,1968,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof; Voice control
bmw x5,61187829,BMW,X5,Black,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,195,0,Euro 6c,143000,01/06/2019,Used,6.7,50049,1,2993,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot
land-rover defender,61187817,Land Rover,Defender,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,386,340,Euro 6d,5100,01/07/2023,Used,15.1,126699,1,4999,Ventilated front seats; Heated rear seats; Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Meridian audio; Heated front seats
bmw x5,61187829,BMW,X5,Black,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,195,0,Euro 6c,143000,01/06/2019,Used,6.7,50049,1,2993,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot
skoda karoq,61187821,Skoda,Karoq,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,110,135,Euro 6d,24850,01/07/2023,Used,5.1,37199,1,1968,Heated rear seats; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control
land-rover defender,61187817,Land Rover,Defender,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,386,340,Euro 6d,5100,01/07/2023,Used,15.1,126699,1,4999,Ventilated front seats; Heated rear seats; Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Meridian audio; Heated front seats
smart forfour,61187820,Smart,ForFour,Red,Black interior,Full leather interior,Hatchback,4/5 doors,4,Petrol,Automatic,4x2,66,99,Euro 6,38000,01/08/2016,Used,4.3,14299,2,898,Heated front seats; Panoramic roof; Voice control; Navigation system; Bluetooth; Leather; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment
mercedes-benz vito,61187801,Mercedes-Benz,Vito,Silver,Black interior,Cloth interior,Cargo VAN,4/5 doors,2,Diesel,Manual,4x2,100,186,Euro 6,115527,01/12/2019,Used,7.1,25499,1,2143,Parking assist system self-steering; LED headlights; Navigation system; Bluetooth; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; Start-stop system
smart fortwo,61187791,Smart,ForTwo,Grey,Black interior,Full leather interior,Hatchback,2/3 doors,2,Electric,Automatic,4x2,60,0,Euro 6d-TEMP,11200,01/12/2019,Used,13,14199,1,1499,Heated front seats; Integrated music streaming; Panoramic roof; Voice control; Navigation system; Sport front seats; Bluetooth; Sport-suspension system; Leather; Automatic A/C
jeep compass,61187778,Jeep,Compass,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,177,125,Euro 6d,18076,01/07/2021,Used,5.4,31499,1,1332,Parking assist system self-steering; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Navigation system; Heated steering wheel
mercedes-benz e-300,61187764,Mercedes-Benz,E 300,Black,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,190,0,Euro 6d,31646,01/09/2022,Used,5.5,41899,2,1991,LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Voice control; Navigation system
volkswagen golf,61187762,Volkswagen,Golf,Red,Black interior,Part leather interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,77,134,No emission class,155629,01/07/2012,Used,5.7,8899,0,1197,Heated front seats; Navigation system; Sport front seats; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Hill-start assist; Parking sensors
volkswagen id.4,61187748,Volkswagen,ID.4,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,150,0,Euro 6,4690,01/12/2020,Used,5.534431978,45799,2,1499,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Smartphone mirroring; Apple CarPlay; Android auto
seat ibiza,61187718,Seat,Ibiza,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,77,124,Euro 5,133815,01/05/2013,Used,5.3,6899,4,1197,Heated front seats; Voice control; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel
kia stonic,61187712,Kia,Stonic,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,62,116,Euro 6,6000,01/11/2022,Used,5.1,19699,0,1197,Heated front seats; Apple CarPlay; Android auto; Voice control; Heated steering wheel; Bluetooth; Automatic A/C; Light sensor; Lane assist; Hill-start assist
mercedes-benz cla-250-shooting-brake,61187710,Mercedes-Benz,CLA 250 Shooting Brake,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Hybrid,Automatic,4x2,160,24,Euro 6d,17500,01/04/2023,Used,1.1,47899,0,1332,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system
kia sportage,61187698,Kia,Sportage,Orange,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,130,175,Euro 6d-TEMP,33500,01/11/2019,Used,7.6,28799,1,1591,Heated rear seats; Keyless entry; Electric adjustable front seats; Heated front seats; Keyless ignition; Panoramic roof; Navigation system; El. tailgate; Sport front seats; Traffic sign recognition
mercedes-benz a-180,61187678,Mercedes-Benz,A 180,Black,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,80,138,Euro 5,160000,01/02/2012,Used,5,7399,2,1991,Keyless entry; Heated front seats; Keyless ignition; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor
fiat 500c,61187664,Fiat,500C,Red,Black interior,Part leather interior,Cabriolet,2/3 doors,4,Petrol,Manual,4x2,51,116,Euro 6,79998,01/07/2018,Used,5,10899,2,1242,Apple CarPlay; Android auto; Voice control; Navigation system; Bluetooth; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights
smart fortwo,61187665,Smart,ForTwo,White,Other interior color,Cloth interior,Hatchback,2/3 doors,2,Electric,Automatic,4x2,60,0,No emission class,21780,01/10/2020,Used,5.534431978,12149,1,1499,Bluetooth; Automatic A/C; Hill-start assist; Daytime running lights; On-board computer; Front electric windows; Alloy wheels
skoda octavia,61187668,Skoda,Octavia,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,147,116,No emission class,703,01/05/2023,Used,4.4,49549,0,1968,Driver's seat with massage function; Parking assist system self-steering; LED headlights; Digital cockpit; Front seats with memory; Adaptive cruise control; Heated front seats; Head-up display; Panoramic roof; Navigation system
volkswagen touran,61187658,Volkswagen,Touran,Grey,Black interior,Cloth interior,MPV,4/5 doors,5,Petrol,Automatic,4x2,103,154,Euro 5,132801,01/02/2013,Used,6.6,12499,2,1390,Parking assist system self-steering; Heated front seats; Panoramic roof; Navigation system; Automatic 2-zones air conditioning; Adaptive lighting; Xenon headlights; Rain sensor; Light sensor; Hill-start assist
renault clio,61187609,Renault,Clio,Red,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,66,112,Euro 6,22277,01/05/2021,Used,4.9,20049,0,999,LED headlights; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth; Light sensor
lexus ux,61187508,Lexus,UX,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,150,0,Euro 6d-TEMP,1101,01/09/2021,Used,5.534431978,33149,1,1499,Ventilated front seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system
mercedes-benz vito,61187514,Mercedes-Benz,Vito,Black,Black interior,Part leather interior,Cargo VAN,4/5 doors,5,Diesel,Automatic,4x4,140,153,Euro 6d-TEMP,101700,01/09/2020,Used,5.8,49949,1,1950,Parking assist system self-steering; LED headlights; Heated front seats; Integrated music streaming; Voice control; Navigation system; Glare-free high beam headlights; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning
skoda kodiaq,61187487,Skoda,Kodiaq,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,147,140,Euro 6d,25100,01/05/2023,Used,6.3,47899,1,1968,LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot
opel mokka-x,61187488,Opel,Mokka X,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,103,147,Euro 6,75000,01/03/2018,Used,6.5,15799,3,1364,Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Voice control; Navigation system; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; High beam assist
mercedes-benz c-180,61187476,Mercedes-Benz,C 180,Silver,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,115,147,Euro 6d-TEMP,68000,01/02/2020,Used,6.5,28399,1,1497,LED headlights; Keyless entry; Electric adjustable front seats; Burmester audio; Heated front seats; Keyless ignition; Panoramic roof; Navigation system; El. tailgate; Traffic sign recognition
skoda kodiaq,61187468,Skoda,Kodiaq,White,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,140,150,Euro 6d,79195,01/01/2017,Used,5.8,26799,0,1968,Ventilated front seats; Heated rear seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition
kia picanto,61187464,Kia,Picanto,Red,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,62,135,No emission class,24689,01/09/2022,Used,5.9,19399,1,1197,Heated front seats; Integrated music streaming; Navigation system; Heated steering wheel; Bluetooth; Induction charging for smartphones; Automatic A/C; Light sensor; Hill-start assist; Multifunctional steering wheel
renault master,61187456,Renault,Master,Blue,Other interior color,Other interior material,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,81,207,Euro 6,82000,01/11/2016,Used,7.8,16349,1,2299,Central locking with remote; Fixed trailer coupling
chevrolet cruze,61187435,Chevrolet,Cruze,Black,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,103,132,Euro 5,95395,01/09/2013,Used,5.7,9399,2,1364,Navigation system; Bluetooth; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; On-board computer; CD player; Front electric windows
smart fortwo,61187440,Smart,ForTwo,White,Other interior color,Cloth interior,Hatchback,2/3 doors,2,Electric,Automatic,4x2,60,0,No emission class,20880,01/10/2020,Used,5.534431978,12149,1,1499,Bluetooth; Automatic A/C; Hill-start assist; Daytime running lights; On-board computer; Front electric windows; Alloy wheels
suzuki swift,61187430,Suzuki,Swift,Black,Black interior,Cloth interior,Hatchback,4/5 doors,4,Petrol,Manual,4x2,61,88,Euro 6d-TEMP,5,01/12/2023,New,3.9,18849,1,1197,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Traffic sign recognition; Bluetooth; High beam assist; Light sensor; Blind spot assist; Parking sensors
ford transit-connect,61187414,Ford,Transit Connect,White,Black interior,Cloth interior,Cargo VAN,2/3 doors,3,Diesel,Manual,4x2,74,124,Euro 6d,50,01/03/2023,New,5.4,29899,1,1499,Voice control; Bluetooth; Adaptive lighting; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors
volkswagen tiguan,61187406,Volkswagen,Tiguan,Beige,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,118,140,Euro 5,53097,01/06/2014,Used,6.1,16549,1,1390,Parking assist system self-steering; Heated front seats; Paddle shifters; Sport front seats; Automatic A/C; High beam assist; Rain sensor; Light sensor; Hill-start assist; Parking sensors
peugeot 308,61187411,Peugeot,308,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,75,97,Euro 6,154622,01/02/2019,Used,3.7,12899,1,1499,Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor; Lane assist; Hill-start assist; Daytime running lights
peugeot 108,61187387,Peugeot,108,Grey,Other interior color,Cloth interior,Hatchback,2/3 doors,4,Petrol,Manual,4x2,53,85,Euro 6c,34000,01/01/2021,Used,3.7,11999,2,998,Bluetooth; Hill-start assist; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows
ford kuga,61187386,Ford,Kuga,White,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110,125,Euro 6d,10,01/08/2023,New,6.6,27299,0,1496,Heated rear seats; Keyless entry; Heated front seats; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; Rain sensor
skoda enyaq,61187364,Skoda,Enyaq,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x4,220,0,Euro 6,10,01/09/2023,New,5.534431978,58449,0,1499,Driver's seat with massage function; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay
